SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR15836647	PRJNA761539	Burned	191	191	3.581972345	0.681985124	0.184059911	2.051859874	14.06347526	0.01911299
SRR15836648	PRJNA761539	Burned	767	767	6.024643922	0.906986209	0.029942863	2.061404721	59.99587067	0.051676508
SRR15836649	PRJNA761539	Burned	869	869	6.045310474	0.893306333	0.039698592	2.061330623	69.92983511	0.046342588
SRR15836650	PRJNA761539	Burned	418	418	5.508249794	0.912644642	0.029079616	2.061391621	36.58154311	0.055573121
SRR15836651	PRJNA761539	Burned	284	284	3.807296797	0.673980202	0.171715232	2.060843229	26.56085687	0.032299619
SRR15836652	PRJNA761539	Burned	220	220	4.408507534	0.817354831	0.171369703	2.061367006	24.30251107	0.068458246
SRR15836653	PRJNA761539	Burned	187	187	4.158470547	0.794950144	0.140585001	2.059253951	16.18514376	0.039425663
SRR15836654	PRJNA761539	Burned	206	206	3.587594112	0.673362893	0.241778636	2.060070315	18.86232742	0.041309127
SRR15836655	PRJNA761539	Burned	131	131	3.380121517	0.693330196	0.211699364	2.055994786	7.138681604	0.03447017
SRR15836656	PRJNA761539	Burned	375	375	5.204593567	0.878126966	0.066064461	2.061383974	37.98629882	0.070051469
SRR15836657	PRJNA761539	Burned	180	180	3.615465738	0.696224876	0.165586621	2.057581059	17.13670314	0.031363321
SRR15836658	PRJNA761539	Burned	270	270	3.705085727	0.661808944	0.207277988	2.058365442	22.95006847	0.023335712
SRR15836659	PRJNA761539	Burned	174	174	3.37632637	0.654446633	0.191928165	2.058634363	15.49978899	0.028189293
SRR15836660	PRJNA761539	Burned	880	880	6.005691263	0.885805374	0.039570231	2.061364429	66.62836915	0.046364321
SRR15836661	PRJNA761539	Burned	822	822	6.150887601	0.916437055	0.02917225	2.061402959	69.40449268	0.056155273
SRR15836662	PRJNA761539	Burned	144	144	3.525182628	0.709318925	0.151457878	2.047566185	11.75654105	0.033859505
SRR15836663	PRJNA761539	Burned	73	73	2.347594734	0.54716628	0.341405762	2.056210147	8.504741567	0.019639809
SRR15836664	PRJNA761539	Burned	861	861	5.491084955	0.812519705	0.082572298	2.061238202	66.46686906	0.035329853
SRR15836665	PRJNA761539	Burned	621	621	5.413379682	0.841719951	0.058882059	2.060860567	53.37894903	0.04219095
SRR15836666	PRJNA761539	Burned	60	60	1.942561972	0.474450048	0.577339435	2.052172133	5.416501973	0.029184047
SRR15836667	PRJNA761539	Burned	158	158	3.366492844	0.664973758	0.144378552	2.057808284	12.03563284	0.033380554
SRR15836668	PRJNA761539	Burned	260	260	3.869989545	0.695955964	0.169964507	2.060201057	24.19964241	0.031724726
SRR15836669	PRJNA761539	Burned	123	123	3.577178589	0.743358593	0.120735769	2.053166911	8.642734577	0.021560197
SRR15836670	PRJNA761539	Burned	389	389	4.683149449	0.785291715	0.061561786	2.060449395	32.67095595	0.032835765
SRR15836671	PRJNA761539	Burned	189	189	3.619291883	0.690474354	0.171684859	2.056612188	18.4541628	0.045815337
SRR15836672	PRJNA761539	Burned	322	322	4.113924062	0.712423126	0.151896915	2.060540166	30.87644633	0.029614309
SRR15836673	PRJNA761539	Burned	737	737	5.767206967	0.873476743	0.035156757	2.061218297	62.19167611	0.045388679
SRR15836674	PRJNA761539	Unburned	944	944	6.363872183	0.929015324	0.031296498	2.061415476	75.10819711	0.056463583
SRR15836675	PRJNA761539	Unburned	1398	1398	6.6000516	0.911257179	0.039649965	2.061416952	98.72463845	0.045673111
SRR15836676	PRJNA761539	Unburned	1140	1140	6.526021333	0.927151871	0.035093095	2.061417857	80.74719418	0.048887602
SRR15836677	PRJNA761539	Unburned	897	897	6.11960948	0.900067539	0.049269254	2.061392845	68.53299208	0.045147476
SRR15836678	PRJNA761539	Burned	160	160	3.407592928	0.671423887	0.201965348	2.056598001	11.81327641	0.017841576
SRR15836679	PRJNA761539	Unburned	992	992	6.336410633	0.918357235	0.026594654	2.061409269	86.17993745	0.057804682
SRR15836680	PRJNA761539	Unburned	906	906	6.36795424	0.935220661	0.014395767	2.061421373	77.03992323	0.055377983
SRR15836681	PRJNA761539	Unburned	951	951	6.245085041	0.910692269	0.024132702	2.061324199	70.07172263	0.04758081
SRR15836682	PRJNA761539	Unburned	782	782	5.924448953	0.889309237	0.045053913	2.061363012	62.14722314	0.045765475
SRR15836683	PRJNA761539	Unburned	893	893	6.224730833	0.916130917	0.022595735	2.061395516	77.54273794	0.053719638
SRR15836684	PRJNA761539	Unburned	894	894	6.164965306	0.907185436	0.022786872	2.061337121	70.44012138	0.045144339
SRR15836685	PRJNA761539	Unburned	789	789	6.023717672	0.903002351	0.038422734	2.061401238	66.52874419	0.057552922
SRR15836686	PRJNA761539	Unburned	812	812	5.945627114	0.887473216	0.056637748	2.061387901	76.83273672	0.057656458
SRR15836687	PRJNA761539	Unburned	743	743	6.072648024	0.918609475	0.021654868	2.061400688	66.02327458	0.060224147
SRR15836688	PRJNA761539	Unburned	807	807	6.068364148	0.906629419	0.029151543	2.061387462	68.34298153	0.043801545
SRR15836691	PRJNA761539	Burned	151	151	3.842913858	0.765935723	0.149338202	2.059505804	12.59129666	0.029399107
SRR15836703	PRJNA761539	Burned	284	284	4.602728849	0.8147902	0.085609533	2.0605284	29.55319825	0.044487943
SRR15836704	PRJNA761539	Burned	110	110	2.75827953	0.58680801	0.351556668	2.055460285	10.44231684	0.026750768
SRR15836715	PRJNA761539	Burned	319	319	3.88008116	0.673018655	0.344297041	2.061235435	32.22550207	0.043907086
SRR15836726	PRJNA761539	Burned	187	187	4.001633149	0.764968469	0.098991896	2.060152716	16.54206247	0.062338081
SRR15836737	PRJNA761539	Burned	139	139	3.195105634	0.647506842	0.262865036	2.051678724	12.37293629	0.017776157
SRR15836748	PRJNA761539	Burned	178	178	3.79678448	0.732717691	0.202732481	2.057007262	16.23045314	0.048710578
SRR15836759	PRJNA761539	Burned	458	458	5.36431004	0.87553853	0.064455791	2.061371356	47.78973552	0.068534934
SRR15836770	PRJNA761539	Burned	594	594	5.495247076	0.860396259	0.048355418	2.061193009	61.36351099	0.053982194
SRR15836781	PRJNA761539	Burned	264	264	4.6220819	0.828931867	0.082576558	2.061065054	27.89154384	0.059707036
SRR15836792	PRJNA761539	Burned	364	364	4.974517486	0.843545479	0.063235123	2.060548763	34.67276218	0.092685094
SRR15836803	PRJNA761539	Burned	626	626	4.880984746	0.757993348	0.06393836	2.060050841	54.6752757	0.036330819
SRR15836814	PRJNA761539	Burned	48	48	2.227243194	0.575336488	0.296242255	2.039607082	4.27897801	0.030366865
SRR15836815	PRJNA761539	Burned	135	135	2.988089604	0.609158455	0.273423689	2.060009383	10.82932876	0.033243165
SRR15836826	PRJNA761539	Burned	690	690	5.596986545	0.856241489	0.045711278	2.061040452	59.40607622	0.04975908
SRR15836837	PRJNA761539	Burned	83	83	2.6906857	0.608912142	0.254751827	2.056626535	4.680446745	0.024418755
SRR15836848	PRJNA761539	Burned	167	167	3.159397085	0.617311626	0.328792642	2.056713179	13.47528715	0.020210062
SRR15836859	PRJNA761539	Burned	327	327	4.18519977	0.722837402	0.127767211	2.060516578	29.21064252	0.026916929
SRR15836870	PRJNA761539	Burned	362	362	4.320472021	0.73332195	0.147698363	2.059222932	29.03975857	0.038324826
