SampleID	BioProject	group	observed	chao1	diversity_shannon	evenness_pielou	dominance_dbp	rarity_log_modulo_skewness	phylogenetic_div	MNTD
SRR23075855	PRJNA922564	Burned	508	509.6666667	5.837230635	0.936882757	0.011109352	2.061423036	12.64620893	0.006106777
SRR23075858	PRJNA922564	Burned	224	225.3636364	5.048341865	0.932866233	0.023073194	2.061423036	12.56834467	0.031538541
SRR23075860	PRJNA922564	Burned	185	185	5.050490334	0.967460936	0.024045958	2.061423036	11.52199021	0.034727642
SRR23075862	PRJNA922564	Burned	313	313	5.587607278	0.972399877	0.011847722	2.061423036	14.01371298	0.010627933
SRR23075864	PRJNA922564	Unburned	876	876.3333333	6.568571397	0.969478447	0.004691632	2.061423036	27.40168815	0.010948114
SRR23075866	PRJNA922564	Burned	618	618	6.103231093	0.949699223	0.010356037	2.061423036	12.89811629	0.010966963
SRR23075867	PRJNA922564	Unburned	372	372	5.622226159	0.949877848	0.014662377	2.061423036	16.89070595	0.008465671
SRR23075869	PRJNA922564	Unburned	340	340	5.689109943	0.976010125	0.009767785	2.061423036	18.65635168	0.018098291
SRR23075871	PRJNA922564	Unburned	110	110	4.28579226	0.911777505	0.03668427	2.060370037	8.79243493	0.006775634
SRR23075882	PRJNA922564	Burned	462	462	5.878852509	0.958159943	0.013154539	2.061423036	26.75880572	0.019906685
SRR23075884	PRJNA922564	Burned	161	161	4.86804371	0.958011479	0.027178884	2.061423036	8.491433486	0.040967235
SRR23075885	PRJNA922564	Burned	486	486	5.871353277	0.949103665	0.014137375	2.061423036	18.11487967	0.010375164
SRR23075888	PRJNA922564	Unburned	288	288	5.337049701	0.942448693	0.02206235	2.061423036	25.78082008	0.030206537
SRR23075891	PRJNA922564	Unburned	475	476	5.93949743	0.963685552	0.008978196	2.061423036	28.01557993	0.02605741
SRR23075893	PRJNA922564	Unburned	560	574	5.9579287	0.941527848	0.014962373	2.061423036	33.60705121	0.024299065
SRR23075895	PRJNA922564	Unburned	532	532.5	5.973117765	0.951642032	0.009688368	2.061423036	30.8912933	0.021431393
SRR23075897	PRJNA922564	Unburned	515	518	6.056955736	0.970018232	0.007924028	2.061423036	32.28009523	0.025361167
SRR23075899	PRJNA922564	Unburned	476	476.3333333	5.939871399	0.963417491	0.011811739	2.061423036	30.64094868	0.029677391
SRR23075901	PRJNA922564	Burned	761	761	6.175158905	0.930746067	0.014906684	2.061423036	19.37089412	0.00887254
SRR23075902	PRJNA922564	Unburned	497	499	5.973691048	0.962165487	0.009659597	2.061423036	25.58983268	0.035091775
SRR23075904	PRJNA922564	Unburned	781	784.1111111	6.421072349	0.964041724	0.007257871	2.061423036	32.93991467	0.016291815
SRR23075906	PRJNA922564	Unburned	668	668	6.273116008	0.964458499	0.00796791	2.061423036	29.43445815	0.016378794
SRR23075908	PRJNA922564	Unburned	637	637	6.226937965	0.964404539	0.008573852	2.061423036	36.59424506	0.02178607
SRR23075910	PRJNA922564	Unburned	587	587.75	6.01980382	0.944279276	0.010725505	2.061423036	25.64639933	0.011970516
SRR23075911	PRJNA922564	Unburned	905	906.6666667	6.550581329	0.962197992	0.006282275	2.061423036	32.09330924	0.0156745
SRR23075913	PRJNA922564	Unburned	656	656	6.275532607	0.967526525	0.00757359	2.061423036	35.88401056	0.018650156
SRR23075915	PRJNA922564	Burned	524	525.5	6.007604181	0.959452553	0.009444341	2.061423036	20.1700018	0.0157178
SRR23075917	PRJNA922564	Burned	189	189	5.085676688	0.970225513	0.01875	2.061423036	21.11639168	0.069588906
SRR23075919	PRJNA922564	Burned	710	711.4285714	6.079485979	0.92600771	0.011573602	2.061423036	24.18798462	0.008722857
SRR23075920	PRJNA922564	Burned	372	372	5.504431468	0.929976378	0.019210715	2.061423036	23.1721392	0.01160927
SRR23075922	PRJNA922564	Burned	364	364	5.676500124	0.962583011	0.013438075	2.061423036	21.87838514	0.020090374
SRR23075924	PRJNA922564	Burned	269	269	5.45086709	0.974289239	0.012550105	2.061423036	14.33413803	0.033297491
SRR23075926	PRJNA922564	Burned	253	253	5.400947551	0.976064953	0.014381412	2.061423036	13.44653596	0.032083584
SRR23075928	PRJNA922564	Burned	322	322	5.636840315	0.976152048	0.009600137	2.061423036	23.1410145	0.031214158
SRR23075931	PRJNA922564	Unburned	109	109	4.457772001	0.950211349	0.032276438	2.061423036	11.52582327	0.039125925
SRR23075933	PRJNA922564	Unburned	161	161	4.923566374	0.968938116	0.020862397	2.061423036	13.99601556	0.027717088
SRR23075935	PRJNA922564	Unburned	523	523	6.027054592	0.962852649	0.008676614	2.061423036	27.45725436	0.023661351
SRR23075937	PRJNA922564	Unburned	530	530	6.121916221	0.975934362	0.005828548	2.061423036	26.86661507	0.00905543
SRR23075940	PRJNA922564	Burned	415	415.3333333	5.878114595	0.975090082	0.008443875	2.061423036	11.65599098	0.01300396
SRR23075942	PRJNA922564	Burned	840	842.5	6.480749183	0.962477703	0.00589077	2.061423036	19.95674348	0.005808172
SRR23075944	PRJNA922564	Burned	623	625.1	6.232303022	0.968569114	0.006097992	2.061423036	25.15670192	0.016445473
SRR23075946	PRJNA922564	Burned	464	464	5.687855298	0.926378216	0.018033019	2.061423036	14.99973529	0.006981715
SRR23075950	PRJNA922564	Burned	589	589	5.623690989	0.881673759	0.021840821	2.061387422	19.09420103	0.005823199
SRR23075952	PRJNA922564	Burned	443	446	5.392013794	0.88486946	0.024506498	2.061395078	15.56395063	0.009398497
SRR23075954	PRJNA922564	Burned	468	468.5882353	5.838066689	0.949515621	0.010866305	2.061423036	16.50309858	0.011666941
SRR23075956	PRJNA922564	Unburned	489	489	6.040458431	0.975469127	0.007401526	2.061423036	31.1511296	0.01755701
SRR23075958	PRJNA922564	Unburned	282	282	5.430578595	0.962543077	0.017893952	2.061423036	23.90364409	0.035352433
SRR23075960	PRJNA922564	Burned	444	444	5.809812834	0.953080715	0.02541694	2.061423036	19.74800724	0.015804704
SRR23075961	PRJNA922564	Unburned	366	366	5.742521898	0.972874575	0.009126422	2.061423036	25.91520231	0.026215896
SRR23075965	PRJNA922564	Unburned	691	691	6.309352785	0.965007319	0.007029419	2.061423036	34.99790164	0.021889837
SRR23075967	PRJNA922564	Burned	88	88.33333333	4.13272844	0.923032734	0.041257862	2.061423036	10.47548991	0.122233951
SRR23075969	PRJNA922564	Burned	265	265	5.140727561	0.921321949	0.024359293	2.061423036	19.56751741	0.017454386
SRR23075971	PRJNA922564	Burned	32	32	3.312358442	0.95574462	0.070315789	2.061423036	8.877441828	0.180842202
SRR23075973	PRJNA922564	Burned	364	364	5.600750936	0.949737969	0.015969634	2.061423036	15.7875801	0.016427798
SRR23075975	PRJNA922564	Burned	233	233.3333333	5.182960486	0.950820753	0.01762012	2.061423036	17.80237441	0.047685454
SRR23075982	PRJNA922564	Unburned	171	171	4.981515228	0.968852818	0.018347447	2.061423036	14.13128846	0.050221222
SRR23075984	PRJNA922564	Unburned	174	174	4.933701369	0.95631876	0.024487594	2.061423036	16.3033037	0.024071087
SRR23075986	PRJNA922564	Unburned	545	545	5.848314708	0.92818815	0.015131005	2.061423036	21.56783532	0.009753643
SRR23075987	PRJNA922564	Unburned	189	189	5.020758903	0.957840752	0.021358992	2.061423036	12.02151105	0.01469949
